episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,0,double_q_learning,observable,-645.0,120,0,24,12,0,0,1.0
1,0,double_q_learning,observable,-293.0,120,0,1,32,0,0,0.996
2,0,double_q_learning,observable,-734.0,120,0,28,13,0,0,0.992016
3,0,double_q_learning,observable,-386.5,120,0,8,26,1,0,0.988047936
4,0,double_q_learning,observable,-556.0,120,0,16,28,1,0,0.984095744256
5,0,double_q_learning,observable,-795.0,120,0,31,13,0,0,0.980159361278976
6,0,double_q_learning,observable,-432.0,120,0,10,25,0,0,0.9762387238338601
7,0,double_q_learning,observable,-584.5,120,0,21,12,0,0,0.9723337689385246
8,0,double_q_learning,observable,-660.0,120,0,25,12,1,0,0.9684444338627706
9,0,double_q_learning,observable,-417.5,120,0,10,23,1,0,0.9645706561273194
10,0,double_q_learning,observable,-376.0,120,0,6,29,0,0,0.9607123735028101
11,0,double_q_learning,observable,-393.5,120,0,10,19,1,0,0.9568695240087989
12,0,double_q_learning,observable,-456.5,120,0,11,27,1,0,0.9530420459127638
13,0,double_q_learning,observable,-286.0,120,0,3,26,1,0,0.9492298777291127
14,0,double_q_learning,observable,-274.5,120,0,0,36,1,0,0.9454329582181962
15,0,double_q_learning,observable,-502.0,120,0,17,13,1,0,0.9416512263853234
16,0,double_q_learning,observable,-297.5,120,0,3,28,1,0,0.9378846214797821
17,0,double_q_learning,observable,-490.5,120,0,15,18,1,0,0.934133082993863
18,0,double_q_learning,observable,-747.5,120,0,29,14,1,0,0.9303965506618875
19,0,double_q_learning,observable,-614.5,120,0,20,21,0,0,0.92667496445924
20,0,double_q_learning,observable,-229.0,120,0,1,21,0,0,0.922968264601403
21,0,double_q_learning,observable,-713.5,120,0,27,15,1,0,0.9192763915429975
22,0,double_q_learning,observable,-818.0,120,0,33,12,1,0,0.9155992859768254
23,0,double_q_learning,observable,-494.5,120,0,15,19,1,0,0.9119368888329181
24,0,double_q_learning,observable,-589.5,120,0,18,24,0,0,0.9082891412775864
25,0,double_q_learning,observable,-497.5,120,0,17,11,1,0,0.9046559847124761
26,0,double_q_learning,observable,-413.5,120,0,8,29,0,0,0.9010373607736262
27,0,double_q_learning,observable,-602.5,120,0,23,9,1,0,0.8974332113305317
28,0,double_q_learning,observable,-581.5,120,0,22,9,1,0,0.8938434784852095
29,0,double_q_learning,observable,-538.5,120,0,17,21,1,0,0.8902681045712687
30,0,double_q_learning,observable,-299.0,120,0,3,29,1,0,0.8867070321529836
31,0,double_q_learning,observable,-592.5,120,0,20,17,0,0,0.8831602040243717
32,0,double_q_learning,observable,-490.0,120,0,13,24,0,0,0.8796275632082742
33,0,double_q_learning,observable,-520.5,120,0,18,10,0,0,0.8761090529554411
34,0,double_q_learning,observable,-760.0,120,0,29,16,1,0,0.8726046167436193
35,0,double_q_learning,observable,-657.5,120,0,25,12,1,0,0.8691141982766448
36,0,double_q_learning,observable,-355.5,120,0,7,24,1,0,0.8656377414835382
37,0,double_q_learning,observable,-345.5,120,0,6,24,0,0,0.862175190517604
38,0,double_q_learning,observable,-408.0,120,0,13,10,1,0,0.8587264897555337
39,0,double_q_learning,observable,-508.0,120,0,16,18,1,0,0.8552915837965115
40,0,double_q_learning,observable,-247.0,105,1,7,14,1,1,0.8518704174613255
41,0,double_q_learning,observable,-359.0,120,0,8,19,0,0,0.8484629357914802
42,0,double_q_learning,observable,-274.5,120,0,4,18,0,0,0.8450690840483143
43,0,double_q_learning,observable,-596.0,120,0,20,20,1,0,0.841688807712121
44,0,double_q_learning,observable,-391.0,120,0,11,15,1,0,0.8383220524812726
45,0,double_q_learning,observable,-574.0,120,0,20,15,1,0,0.8349687642713475
46,0,double_q_learning,observable,-434.5,120,0,13,13,0,0,0.831628889214262
47,0,double_q_learning,observable,-223.5,120,0,2,18,1,0,0.828302373657405
48,0,double_q_learning,observable,-393.5,120,0,11,14,0,0,0.8249891641627753
49,0,double_q_learning,observable,-684.5,120,0,27,9,1,0,0.8216892075061243
50,0,double_q_learning,observable,-566.5,120,0,17,24,0,0,0.8184024506760997
51,0,double_q_learning,observable,-328.0,120,0,7,17,0,0,0.8151288408733953
52,0,double_q_learning,observable,-271.5,120,0,3,23,1,0,0.8118683255099017
53,0,double_q_learning,observable,-531.0,120,0,17,17,0,0,0.8086208522078622
54,0,double_q_learning,observable,-500.0,120,0,17,13,1,0,0.8053863687990307
55,0,double_q_learning,observable,-284.0,120,0,4,20,0,0,0.8021648233238345
56,0,double_q_learning,observable,-239.0,120,0,1,23,0,0,0.7989561640305393
