episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
1,8,heuristic,hidden,31.0,19,1,0,2,1,1,0.0
2,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
3,8,heuristic,hidden,35.0,25,1,0,0,1,1,0.0
4,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
5,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
6,8,heuristic,hidden,26.0,19,1,0,3,1,1,0.0
7,8,heuristic,hidden,24.0,21,1,0,3,1,1,0.0
8,8,heuristic,hidden,36.0,24,1,0,0,1,1,0.0
9,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
10,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
11,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
12,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
13,8,heuristic,hidden,40.0,15,1,0,1,1,1,0.0
14,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
15,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
16,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
17,8,heuristic,hidden,37.0,23,1,0,0,1,1,0.0
18,8,heuristic,hidden,-36.0,23,1,3,3,1,1,0.0
19,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
20,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
21,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
22,8,heuristic,hidden,-43.0,23,1,2,8,1,1,0.0
23,8,heuristic,hidden,43.0,17,1,0,0,1,1,0.0
24,8,heuristic,hidden,18.0,17,1,1,1,1,1,0.0
25,8,heuristic,hidden,12.0,18,1,0,6,1,1,0.0
26,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
27,8,heuristic,hidden,40.0,15,1,0,1,1,1,0.0
28,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
29,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
30,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
31,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
32,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
33,8,heuristic,hidden,16.0,19,1,0,5,1,1,0.0
34,8,heuristic,hidden,38.0,17,1,0,1,1,1,0.0
35,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
36,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
37,8,heuristic,hidden,29.0,21,1,0,2,1,1,0.0
38,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
39,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
40,8,heuristic,hidden,21.0,19,1,1,0,1,1,0.0
41,8,heuristic,hidden,43.0,17,1,0,0,1,1,0.0
42,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
43,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
44,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
45,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
46,8,heuristic,hidden,33.0,17,1,0,2,1,1,0.0
47,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
48,8,heuristic,hidden,-53.0,29,1,4,2,1,1,0.0
49,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
50,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
51,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
52,8,heuristic,hidden,26.0,19,1,0,3,1,1,0.0
53,8,heuristic,hidden,35.0,15,1,0,2,1,1,0.0
54,8,heuristic,hidden,45.0,15,1,0,0,1,1,0.0
55,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
56,8,heuristic,hidden,44.0,16,1,0,0,1,1,0.0
57,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
58,8,heuristic,hidden,33.0,17,1,0,2,1,1,0.0
59,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
60,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
61,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
62,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
63,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
64,8,heuristic,hidden,30.0,20,1,0,2,1,1,0.0
65,8,heuristic,hidden,43.0,17,1,0,0,1,1,0.0
66,8,heuristic,hidden,31.0,19,1,0,2,1,1,0.0
67,8,heuristic,hidden,30.0,20,1,0,2,1,1,0.0
68,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
69,8,heuristic,hidden,32.0,18,1,0,2,1,1,0.0
70,8,heuristic,hidden,14.0,21,1,1,1,1,1,0.0
71,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
72,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
73,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
74,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
75,8,heuristic,hidden,30.0,20,1,0,2,1,1,0.0
76,8,heuristic,hidden,37.0,23,1,0,0,1,1,0.0
77,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
78,8,heuristic,hidden,44.0,16,1,0,0,1,1,0.0
79,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
80,8,heuristic,hidden,36.0,24,1,0,0,1,1,0.0
81,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
82,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
83,8,heuristic,hidden,32.0,23,1,0,1,1,1,0.0
84,8,heuristic,hidden,43.0,17,1,0,0,1,1,0.0
85,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
86,8,heuristic,hidden,-31.0,21,1,3,2,1,1,0.0
87,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
88,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
89,8,heuristic,hidden,38.0,17,1,0,1,1,1,0.0
90,8,heuristic,hidden,38.0,22,1,0,0,1,1,0.0
91,8,heuristic,hidden,26.0,19,1,0,3,1,1,0.0
92,8,heuristic,hidden,19.0,21,1,1,0,1,1,0.0
93,8,heuristic,hidden,18.0,17,1,1,1,1,1,0.0
94,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
95,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
96,8,heuristic,hidden,45.0,15,1,0,0,1,1,0.0
97,8,heuristic,hidden,32.0,23,1,0,1,1,1,0.0
98,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
99,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
100,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
101,8,heuristic,hidden,30.0,20,1,0,2,1,1,0.0
102,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
103,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
104,8,heuristic,hidden,40.0,20,1,0,0,1,1,0.0
105,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
106,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
107,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
108,8,heuristic,hidden,21.0,19,1,1,0,1,1,0.0
109,8,heuristic,hidden,34.0,21,1,0,1,1,1,0.0
110,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
111,8,heuristic,hidden,27.0,18,1,0,3,1,1,0.0
112,8,heuristic,hidden,11.0,19,1,0,6,1,1,0.0
113,8,heuristic,hidden,15.0,20,1,1,1,1,1,0.0
114,8,heuristic,hidden,43.0,17,1,0,0,1,1,0.0
115,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
116,8,heuristic,hidden,14.0,21,1,1,1,1,1,0.0
117,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
118,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
119,8,heuristic,hidden,20.0,20,1,1,0,1,1,0.0
120,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
121,8,heuristic,hidden,38.0,17,1,0,1,1,1,0.0
122,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
123,8,heuristic,hidden,33.0,17,1,0,2,1,1,0.0
124,8,heuristic,hidden,18.0,17,1,1,1,1,1,0.0
125,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
126,8,heuristic,hidden,20.0,20,1,1,0,1,1,0.0
127,8,heuristic,hidden,32.0,18,1,0,2,1,1,0.0
128,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
129,8,heuristic,hidden,-65.5,33,1,5,0,1,1,0.0
130,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
131,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
132,8,heuristic,hidden,28.0,17,1,0,3,1,1,0.0
133,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
134,8,heuristic,hidden,14.0,21,1,1,1,1,1,0.0
135,8,heuristic,hidden,31.0,19,1,0,2,1,1,0.0
136,8,heuristic,hidden,33.0,17,1,0,2,1,1,0.0
137,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
138,8,heuristic,hidden,42.0,18,1,0,0,1,1,0.0
139,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
140,8,heuristic,hidden,39.0,21,1,0,0,1,1,0.0
141,8,heuristic,hidden,44.0,16,1,0,0,1,1,0.0
142,8,heuristic,hidden,7.0,18,1,1,3,1,1,0.0
143,8,heuristic,hidden,21.0,19,1,1,0,1,1,0.0
144,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
145,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
146,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
147,8,heuristic,hidden,44.0,16,1,0,0,1,1,0.0
148,8,heuristic,hidden,29.0,21,1,0,2,1,1,0.0
149,8,heuristic,hidden,32.0,18,1,0,2,1,1,0.0
150,8,heuristic,hidden,37.0,18,1,0,1,1,1,0.0
151,8,heuristic,hidden,-35.5,41,1,3,1,1,1,0.0
152,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
153,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
154,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
155,8,heuristic,hidden,41.0,19,1,0,0,1,1,0.0
156,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
157,8,heuristic,hidden,33.0,22,1,0,1,1,1,0.0
158,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
159,8,heuristic,hidden,39.0,16,1,0,1,1,1,0.0
160,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
161,8,heuristic,hidden,36.0,24,1,0,0,1,1,0.0
162,8,heuristic,hidden,32.0,23,1,0,1,1,1,0.0
163,8,heuristic,hidden,36.0,19,1,0,1,1,1,0.0
164,8,heuristic,hidden,35.0,20,1,0,1,1,1,0.0
