episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,1,q_learning,hidden,-474.0,120,0,13,21,0,0,1.0
1,1,q_learning,hidden,-634.0,120,0,20,27,1,0,0.996
2,1,q_learning,hidden,-500.0,120,0,16,14,0,0,0.992016
3,1,q_learning,hidden,-300.0,120,0,3,27,0,0,0.988047936
4,1,q_learning,hidden,-452.0,120,0,10,32,1,0,0.984095744256
5,1,q_learning,hidden,-570.5,120,0,21,9,0,0,0.980159361278976
6,1,q_learning,hidden,-535.5,120,0,17,18,0,0,0.9762387238338601
7,1,q_learning,hidden,-483.5,120,0,14,19,0,0,0.9723337689385246
8,1,q_learning,hidden,-676.5,120,0,25,16,1,0,0.9684444338627706
9,1,q_learning,hidden,-556.5,120,0,18,18,0,0,0.9645706561273194
10,1,q_learning,hidden,-351.5,120,0,4,35,1,0,0.9607123735028101
11,1,q_learning,hidden,-677.0,120,0,25,14,0,0,0.9568695240087989
12,1,q_learning,hidden,-598.5,120,0,21,15,0,0,0.9530420459127638
13,1,q_learning,hidden,-386.5,105,1,12,22,1,1,0.9492298777291127
14,1,q_learning,hidden,-514.0,120,0,15,24,1,0,0.9454329582181962
15,1,q_learning,hidden,-349.0,120,0,8,18,1,0,0.9416512263853234
16,1,q_learning,hidden,-366.5,120,0,9,18,1,0,0.9378846214797821
17,1,q_learning,hidden,-363.0,120,0,8,21,1,0,0.934133082993863
18,1,q_learning,hidden,-481.5,120,0,14,19,0,0,0.9303965506618875
19,1,q_learning,hidden,-247.0,83,1,9,11,1,1,0.92667496445924
20,1,q_learning,hidden,-689.5,120,0,27,9,0,0,0.922968264601403
21,1,q_learning,hidden,-470.5,120,0,14,18,1,0,0.9192763915429975
22,1,q_learning,hidden,-304.0,120,0,5,22,1,0,0.9155992859768254
23,1,q_learning,hidden,-921.5,120,0,40,3,0,0,0.9119368888329181
24,1,q_learning,hidden,-402.0,120,0,13,9,1,0,0.9082891412775864
25,1,q_learning,hidden,-258.5,120,0,3,19,0,0,0.9046559847124761
26,1,q_learning,hidden,-793.5,120,0,32,9,0,0,0.9010373607736262
27,1,q_learning,hidden,-450.0,120,0,14,12,0,0,0.8974332113305317
28,1,q_learning,hidden,-555.5,120,0,19,15,1,0,0.8938434784852095
29,1,q_learning,hidden,-346.0,120,0,9,14,1,0,0.8902681045712687
30,1,q_learning,hidden,-300.0,77,1,13,6,1,1,0.8867070321529836
31,1,q_learning,hidden,-422.0,120,0,12,17,1,0,0.8831602040243717
32,1,q_learning,hidden,-314.5,105,1,11,12,1,1,0.8796275632082742
33,1,q_learning,hidden,-235.0,120,0,4,12,1,0,0.8761090529554411
34,1,q_learning,hidden,-455.5,120,0,15,12,1,0,0.8726046167436193
35,1,q_learning,hidden,-274.0,120,0,3,24,1,0,0.8691141982766448
36,1,q_learning,hidden,-460.5,120,0,14,17,1,0,0.8656377414835382
37,1,q_learning,hidden,-625.5,120,0,23,15,1,0,0.862175190517604
38,1,q_learning,hidden,-407.5,120,0,11,18,1,0,0.8587264897555337
39,1,q_learning,hidden,-333.0,120,0,5,27,1,0,0.8552915837965115
40,1,q_learning,hidden,-222.0,62,1,10,5,1,1,0.8518704174613255
41,1,q_learning,hidden,-400.0,120,0,12,12,1,0,0.8484629357914802
42,1,q_learning,hidden,-389.5,120,0,12,10,1,0,0.8450690840483143
43,1,q_learning,hidden,-480.0,120,0,16,10,0,0,0.841688807712121
44,1,q_learning,hidden,-405.0,120,0,11,17,1,0,0.8383220524812726
45,1,q_learning,hidden,-305.5,120,0,6,18,1,0,0.8349687642713475
46,1,q_learning,hidden,-424.0,120,0,11,21,1,0,0.831628889214262
47,1,q_learning,hidden,-427.0,120,0,11,22,1,0,0.828302373657405
48,1,q_learning,hidden,-360.0,99,1,12,18,1,1,0.8249891641627753
49,1,q_learning,hidden,-528.0,85,1,24,7,1,1,0.8216892075061243
50,1,q_learning,hidden,-358.5,120,0,9,14,0,0,0.8184024506760997
51,1,q_learning,hidden,-466.0,120,0,13,19,0,0,0.8151288408733953
52,1,q_learning,hidden,-264.0,104,1,9,10,1,1,0.8118683255099017
53,1,q_learning,hidden,-299.5,92,1,11,12,1,1,0.8086208522078622
54,1,q_learning,hidden,-503.0,120,0,18,9,1,0,0.8053863687990307
55,1,q_learning,hidden,-312.0,120,0,7,15,1,0,0.8021648233238345
56,1,q_learning,hidden,-477.5,120,0,15,14,0,0,0.7989561640305393
57,1,q_learning,hidden,-428.5,120,0,11,22,1,0,0.795760339374417
58,1,q_learning,hidden,-138.5,60,1,6,5,1,1,0.7925772980169195
59,1,q_learning,hidden,-217.0,81,1,6,17,1,1,0.7894069888248517
