episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,9,q_learning,observable,-496.5,120,0,15,20,1,0,1.0
1,9,q_learning,observable,-333.5,120,0,7,19,1,0,0.996
2,9,q_learning,observable,-494.0,120,0,16,15,1,0,0.992016
3,9,q_learning,observable,-272.5,120,0,3,23,1,0,0.988047936
4,9,q_learning,observable,-520.5,120,0,16,21,1,0,0.984095744256
5,9,q_learning,observable,-698.0,120,0,27,10,0,0,0.980159361278976
6,9,q_learning,observable,-595.0,104,1,23,20,1,1,0.9762387238338601
7,9,q_learning,observable,-477.5,120,0,13,22,0,0,0.9723337689385246
8,9,q_learning,observable,-459.0,120,0,14,16,1,0,0.9684444338627706
9,9,q_learning,observable,-333.5,120,0,6,23,1,0,0.9645706561273194
10,9,q_learning,observable,-315.5,120,0,9,8,1,0,0.9607123735028101
11,9,q_learning,observable,-343.0,120,0,7,22,1,0,0.9568695240087989
12,9,q_learning,observable,-679.5,120,0,24,20,1,0,0.9530420459127638
13,9,q_learning,observable,-479.0,120,0,16,13,1,0,0.9492298777291127
14,9,q_learning,observable,-547.5,120,0,18,16,0,0,0.9454329582181962
15,9,q_learning,observable,-414.5,120,0,8,29,0,0,0.9416512263853234
16,9,q_learning,observable,-591.5,120,0,22,9,0,0,0.9378846214797821
17,9,q_learning,observable,-295.5,120,0,4,22,0,0,0.934133082993863
18,9,q_learning,observable,-511.5,120,0,16,18,1,0,0.9303965506618875
19,9,q_learning,observable,-496.0,120,0,14,21,0,0,0.92667496445924
20,9,q_learning,observable,-733.5,120,0,28,16,1,0,0.922968264601403
21,9,q_learning,observable,-466.5,120,0,13,20,0,0,0.9192763915429975
22,9,q_learning,observable,-437.5,120,0,12,20,1,0,0.9155992859768254
23,9,q_learning,observable,-450.0,120,0,12,22,1,0,0.9119368888329181
24,9,q_learning,observable,-671.5,120,0,23,22,1,0,0.9082891412775864
25,9,q_learning,observable,-393.5,120,0,8,27,1,0,0.9046559847124761
26,9,q_learning,observable,-374.5,120,0,8,22,0,0,0.9010373607736262
27,9,q_learning,observable,-506.0,120,0,14,24,0,0,0.8974332113305317
28,9,q_learning,observable,-737.5,120,0,29,11,0,0,0.8938434784852095
29,9,q_learning,observable,-417.0,120,0,10,24,1,0,0.8902681045712687
30,9,q_learning,observable,-431.0,120,0,13,15,1,0,0.8867070321529836
31,9,q_learning,observable,-510.5,120,0,17,13,0,0,0.8831602040243717
32,9,q_learning,observable,-430.5,120,0,14,11,1,0,0.8796275632082742
33,9,q_learning,observable,-517.5,81,1,23,9,1,1,0.8761090529554411
34,9,q_learning,observable,-420.0,120,0,13,12,1,0,0.8726046167436193
35,9,q_learning,observable,-516.5,120,0,16,18,0,0,0.8691141982766448
36,9,q_learning,observable,-575.5,120,0,20,14,0,0,0.8656377414835382
37,9,q_learning,observable,-513.0,99,1,21,13,1,1,0.862175190517604
38,9,q_learning,observable,-331.5,120,0,7,19,1,0,0.8587264897555337
39,9,q_learning,observable,-317.5,120,0,8,11,0,0,0.8552915837965115
40,9,q_learning,observable,-449.5,120,0,14,15,1,0,0.8518704174613255
41,9,q_learning,observable,-634.0,120,0,21,24,1,0,0.8484629357914802
42,9,q_learning,observable,-386.5,120,0,10,17,1,0,0.8450690840483143
43,9,q_learning,observable,-502.5,120,0,14,25,1,0,0.841688807712121
44,9,q_learning,observable,-540.5,120,0,19,12,0,0,0.8383220524812726
45,9,q_learning,observable,-584.0,120,0,21,14,1,0,0.8349687642713475
46,9,q_learning,observable,-498.0,120,0,15,20,1,0,0.831628889214262
47,9,q_learning,observable,-593.5,120,0,21,15,1,0,0.828302373657405
48,9,q_learning,observable,-120.5,70,1,4,8,1,1,0.8249891641627753
49,9,q_learning,observable,-705.0,120,0,27,14,1,0,0.8216892075061243
50,9,q_learning,observable,-143.0,64,1,5,9,1,1,0.8184024506760997
51,9,q_learning,observable,-345.0,120,0,8,18,1,0,0.8151288408733953
52,9,q_learning,observable,-255.0,120,0,2,24,1,0,0.8118683255099017
53,9,q_learning,observable,-412.5,120,0,12,16,1,0,0.8086208522078622
54,9,q_learning,observable,-411.0,90,1,17,11,1,1,0.8053863687990307
55,9,q_learning,observable,-581.0,120,0,21,13,1,0,0.8021648233238345
56,9,q_learning,observable,-573.5,120,0,20,15,1,0,0.7989561640305393
57,9,q_learning,observable,-501.5,120,0,17,11,0,0,0.795760339374417
58,9,q_learning,observable,-369.0,120,0,12,5,0,0,0.7925772980169195
59,9,q_learning,observable,-255.5,120,0,5,13,1,0,0.7894069888248517
60,9,q_learning,observable,-344.0,116,1,11,16,1,1,0.7862493608695523
61,9,q_learning,observable,-274.5,120,0,4,19,1,0,0.7831043634260741
62,9,q_learning,observable,-300.5,120,0,7,13,1,0,0.7799719459723699
63,9,q_learning,observable,-495.0,120,0,16,16,1,0,0.7768520581884804
64,9,q_learning,observable,-381.5,120,0,10,15,0,0,0.7737446499557264
65,9,q_learning,observable,-455.0,120,0,14,15,0,0,0.7706496713559035
66,9,q_learning,observable,-203.5,120,0,1,18,1,0,0.7675670726704799
67,9,q_learning,observable,-135.0,67,1,3,15,1,1,0.764496804379798
68,9,q_learning,observable,-389.5,120,0,10,19,1,0,0.7614388171622788
69,9,q_learning,observable,-102.0,56,1,4,6,1,1,0.7583930618936296
70,9,q_learning,observable,-366.5,80,1,16,7,1,1,0.7553594896460551
71,9,q_learning,observable,-319.0,120,0,6,19,0,0,0.7523380516874709
72,9,q_learning,observable,-276.0,120,0,4,20,1,0,0.749328699480721
73,9,q_learning,observable,-368.0,120,0,7,26,1,0,0.7463313846827981
74,9,q_learning,observable,-169.5,120,0,0,15,1,0,0.7433460591440669
75,9,q_learning,observable,-549.5,120,0,22,3,1,0,0.7403726749074907
76,9,q_learning,observable,-443.0,120,0,14,14,1,0,0.7374111842078607
77,9,q_learning,observable,-458.0,120,0,14,16,1,0,0.7344615394710292
78,9,q_learning,observable,-314.5,120,0,5,23,1,0,0.7315236933131452
79,9,q_learning,observable,-518.5,120,0,15,24,1,0,0.7285975985398926
80,9,q_learning,observable,-542.0,120,0,19,14,1,0,0.725683208145733
81,9,q_learning,observable,-269.0,120,0,3,21,0,0,0.72278047531315
82,9,q_learning,observable,-294.5,105,1,10,12,1,1,0.7198893534118974
83,9,q_learning,observable,-676.0,120,0,27,6,0,0,0.7170097959982499
84,9,q_learning,observable,-256.5,120,0,2,23,0,0,0.7141417568142568
85,9,q_learning,observable,-223.5,120,0,5,6,1,0,0.7112851897869998
86,9,q_learning,observable,-128.5,54,1,4,12,1,1,0.7084400490278518
87,9,q_learning,observable,-285.5,101,1,9,15,1,1,0.7056062888317404
88,9,q_learning,observable,-288.0,120,0,7,11,1,0,0.7027838636764134
89,9,q_learning,observable,-309.5,120,0,8,9,0,0,0.6999727282217078
90,9,q_learning,observable,-370.5,120,0,10,15,1,0,0.697172837308821
91,9,q_learning,observable,-433.0,120,0,14,12,1,0,0.6943841459595856
92,9,q_learning,observable,-221.0,99,1,8,8,1,1,0.6916066093757474
93,9,q_learning,observable,-360.5,120,0,10,13,1,0,0.6888401829382443
94,9,q_learning,observable,-423.0,120,0,14,8,0,0,0.6860848222064914
95,9,q_learning,observable,-169.5,120,0,0,16,1,0,0.6833404829176654
96,9,q_learning,observable,-372.0,120,0,11,10,0,0,0.6806071209859947
97,9,q_learning,observable,-624.0,120,0,26,2,1,0,0.6778846925020507
98,9,q_learning,observable,-243.5,120,0,3,18,1,0,0.6751731537320426
99,9,q_learning,observable,-251.5,120,0,6,8,1,0,0.6724724611171143
100,9,q_learning,observable,-296.5,120,0,8,9,1,0,0.6697825712726458
101,9,q_learning,observable,-324.5,120,0,7,16,0,0,0.6671034409875554
102,9,q_learning,observable,-470.5,120,0,13,23,1,0,0.664435027223605
103,9,q_learning,observable,-421.0,120,0,14,10,1,0,0.6617772871147106
104,9,q_learning,observable,-188.0,120,0,0,17,0,0,0.6591301779662518
105,9,q_learning,observable,-337.5,120,0,8,17,1,0,0.6564936572543868
106,9,q_learning,observable,-282.5,120,0,6,14,1,0,0.6538676826253692
107,9,q_learning,observable,-294.5,120,0,8,8,1,0,0.6512522118948678
108,9,q_learning,observable,-61.5,78,1,0,10,1,1,0.6486472030472883
109,9,q_learning,observable,-294.5,120,0,7,12,1,0,0.6460526142350992
110,9,q_learning,observable,-542.5,120,0,21,6,1,0,0.6434684037781587
111,9,q_learning,observable,-168.5,92,1,5,10,1,1,0.6408945301630461
112,9,q_learning,observable,-336.5,120,0,7,19,0,0,0.6383309520423939
113,9,q_learning,observable,-181.0,76,1,5,15,1,1,0.6357776282342243
114,9,q_learning,observable,-63.0,82,1,0,10,1,1,0.6332345177212875
115,9,q_learning,observable,-393.0,96,1,16,10,1,1,0.6307015796504023
116,9,q_learning,observable,-273.5,120,0,5,16,1,0,0.6281787733318007
117,9,q_learning,observable,-247.0,120,0,3,19,1,0,0.6256660582384734
118,9,q_learning,observable,-381.5,120,0,11,13,1,0,0.6231633940055196
119,9,q_learning,observable,-286.0,120,0,7,10,1,0,0.6206707404294975
120,9,q_learning,observable,-173.0,61,1,8,4,1,1,0.6181880574677795
121,9,q_learning,observable,-383.0,120,0,11,14,1,0,0.6157153052379084
122,9,q_learning,observable,-95.0,69,1,3,7,1,1,0.6132524440169568
123,9,q_learning,observable,-206.0,120,0,3,10,1,0,0.6107994342408889
124,9,q_learning,observable,-170.0,114,1,5,7,1,1,0.6083562365039253
125,9,q_learning,observable,-401.5,120,0,13,10,1,0,0.6059228115579096
126,9,q_learning,observable,-103.0,89,1,2,9,1,1,0.6034991203116781
127,9,q_learning,observable,-324.0,120,0,9,8,0,0,0.6010851238304313
128,9,q_learning,observable,-195.5,116,1,5,11,1,1,0.5986807833351095
129,9,q_learning,observable,-340.5,120,0,10,9,1,0,0.5962860602017691
130,9,q_learning,observable,-228.5,120,0,1,22,1,0,0.5939009159609621
131,9,q_learning,observable,-379.5,120,0,12,9,1,0,0.5915253122971182
132,9,q_learning,observable,-203.0,112,1,7,6,1,1,0.5891592110479298
133,9,q_learning,observable,-337.5,120,0,8,17,1,0,0.586802574203738
134,9,q_learning,observable,-196.0,83,1,7,9,1,1,0.5844553639069231
135,9,q_learning,observable,-336.5,120,0,9,13,1,0,0.5821175424512953
136,9,q_learning,observable,-522.0,120,0,21,2,1,0,0.5797890722814902
