episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,6,random,observable,-447.0,120,0,11,24,0,0,0.0
1,6,random,observable,-575.5,120,0,21,12,1,0,0.0
2,6,random,observable,-612.5,120,0,20,21,0,0,0.0
3,6,random,observable,-497.5,120,0,16,16,1,0,0.0
4,6,random,observable,-848.0,120,0,33,16,0,0,0.0
5,6,random,observable,-286.0,103,1,9,15,1,1,0.0
6,6,random,observable,-426.5,120,0,12,18,1,0,0.0
7,6,random,observable,-610.0,120,0,19,26,1,0,0.0
8,6,random,observable,-618.5,120,0,23,10,0,0,0.0
9,6,random,observable,-349.0,120,0,4,34,1,0,0.0
10,6,random,observable,-562.0,120,0,19,17,1,0,0.0
11,6,random,observable,-396.5,120,0,7,30,0,0,0.0
12,6,random,observable,-398.5,120,0,11,14,0,0,0.0
13,6,random,observable,-583.5,120,0,20,16,1,0,0.0
14,6,random,observable,-604.0,120,0,20,19,0,0,0.0
15,6,random,observable,-485.5,120,0,15,19,1,0,0.0
16,6,random,observable,-443.5,120,0,12,22,1,0,0.0
17,6,random,observable,-852.5,120,0,34,13,0,0,0.0
18,6,random,observable,-557.0,120,0,18,18,0,0,0.0
19,6,random,observable,-665.0,120,0,26,10,1,0,0.0
20,6,random,observable,-517.5,120,0,16,18,0,0,0.0
21,6,random,observable,-328.5,120,0,3,32,0,0,0.0
22,6,random,observable,-490.0,120,0,16,13,0,0,0.0
23,6,random,observable,-555.0,120,0,18,20,1,0,0.0
24,6,random,observable,-567.0,120,0,19,16,0,0,0.0
25,6,random,observable,-867.0,120,0,36,8,0,0,0.0
26,6,random,observable,-513.5,120,0,16,20,1,0,0.0
27,6,random,observable,-708.0,120,0,25,20,0,0,0.0
28,6,random,observable,-542.5,120,0,17,21,1,0,0.0
29,6,random,observable,-327.5,120,0,8,14,1,0,0.0
30,6,random,observable,-754.5,120,0,27,21,0,0,0.0
31,6,random,observable,-447.5,120,0,13,18,1,0,0.0
32,6,random,observable,-682.0,120,0,22,26,0,0,0.0
33,6,random,observable,-665.0,120,0,24,18,1,0,0.0
34,6,random,observable,-322.5,120,0,6,19,0,0,0.0
35,6,random,observable,-378.0,120,0,5,35,1,0,0.0
36,6,random,observable,-414.0,120,0,10,23,1,0,0.0
37,6,random,observable,-463.5,120,0,14,15,0,0,0.0
38,6,random,observable,-598.0,120,0,19,22,0,0,0.0
39,6,random,observable,-559.0,120,0,17,24,1,0,0.0
40,6,random,observable,-543.5,120,0,17,19,0,0,0.0
41,6,random,observable,-640.0,120,0,23,14,0,0,0.0
42,6,random,observable,-592.0,120,0,20,19,1,0,0.0
43,6,random,observable,-709.0,120,0,26,18,1,0,0.0
44,6,random,observable,-484.5,120,0,15,15,0,0,0.0
45,6,random,observable,-636.5,120,0,22,18,0,0,0.0
46,6,random,observable,-366.5,120,0,5,34,1,0,0.0
47,6,random,observable,-338.5,120,0,5,28,1,0,0.0
48,6,random,observable,-609.0,120,0,23,10,1,0,0.0
49,6,random,observable,-233.5,120,0,1,23,1,0,0.0
50,6,random,observable,-416.5,120,0,8,32,1,0,0.0
51,6,random,observable,-569.5,120,0,18,20,0,0,0.0
52,6,random,observable,-478.0,120,0,14,18,0,0,0.0
53,6,random,observable,-477.5,120,0,14,18,0,0,0.0
54,6,random,observable,-514.0,120,0,19,7,1,0,0.0
55,6,random,observable,-724.5,120,0,27,15,0,0,0.0
56,6,random,observable,-541.5,120,0,18,16,1,0,0.0
57,6,random,observable,-630.5,120,0,23,14,1,0,0.0
58,6,random,observable,-425.0,120,0,11,19,0,0,0.0
59,6,random,observable,-373.5,120,0,4,36,0,0,0.0
60,6,random,observable,-405.5,84,1,15,18,1,1,0.0
61,6,random,observable,-834.5,120,0,33,14,0,0,0.0
62,6,random,observable,-455.0,120,0,12,21,0,0,0.0
63,6,random,observable,-457.5,120,0,9,34,0,0,0.0
64,6,random,observable,-273.5,120,0,5,16,1,0,0.0
65,6,random,observable,-619.5,120,0,21,18,0,0,0.0
66,6,random,observable,-660.5,120,0,22,22,0,0,0.0
67,6,random,observable,-614.5,120,0,21,18,0,0,0.0
68,6,random,observable,-646.0,120,0,24,12,0,0,0.0
69,6,random,observable,-628.0,120,0,21,20,0,0,0.0
70,6,random,observable,-248.0,120,0,3,19,1,0,0.0
71,6,random,observable,-406.0,120,0,9,25,1,0,0.0
72,6,random,observable,-333.5,120,0,6,23,1,0,0.0
73,6,random,observable,-349.5,120,0,8,19,1,0,0.0
74,6,random,observable,-734.5,120,0,29,9,0,0,0.0
75,6,random,observable,-589.5,120,0,21,12,0,0,0.0
76,6,random,observable,-294.0,120,0,0,39,1,0,0.0
77,6,random,observable,-496.0,120,0,13,28,1,0,0.0
78,6,random,observable,-518.0,120,0,15,24,1,0,0.0
79,6,random,observable,-511.0,120,0,14,26,1,0,0.0
80,6,random,observable,-401.0,120,0,7,33,1,0,0.0
81,6,random,observable,-270.0,67,1,10,14,1,1,0.0
82,6,random,observable,-316.5,120,0,3,29,0,0,0.0
83,6,random,observable,-547.5,120,0,18,19,1,0,0.0
84,6,random,observable,-611.5,120,0,23,11,1,0,0.0
85,6,random,observable,-583.0,120,0,20,17,1,0,0.0
86,6,random,observable,-375.0,120,0,10,15,1,0,0.0
87,6,random,observable,-670.5,120,0,26,8,0,0,0.0
88,6,random,observable,-452.0,120,0,13,19,1,0,0.0
89,6,random,observable,-766.5,120,0,28,21,1,0,0.0
90,6,random,observable,-480.5,120,0,11,30,0,0,0.0
91,6,random,observable,-589.5,120,0,18,24,0,0,0.0
92,6,random,observable,-664.5,120,0,25,11,0,0,0.0
93,6,random,observable,-737.0,120,0,29,10,0,0,0.0
94,6,random,observable,-625.0,120,0,22,17,1,0,0.0
95,6,random,observable,-530.5,120,0,16,22,1,0,0.0
96,6,random,observable,-397.5,120,0,12,12,1,0,0.0
97,6,random,observable,-371.0,120,0,6,28,0,0,0.0
98,6,random,observable,-606.5,120,0,20,20,0,0,0.0
99,6,random,observable,-303.0,120,0,4,25,1,0,0.0
100,6,random,observable,-387.5,120,0,11,14,1,0,0.0
101,6,random,observable,-626.5,120,0,23,14,1,0,0.0
102,6,random,observable,-985.0,120,0,41,14,1,0,0.0
103,6,random,observable,-511.0,120,0,16,16,0,0,0.0
104,6,random,observable,-539.0,120,0,18,16,1,0,0.0
105,6,random,observable,-96.0,30,1,6,2,1,1,0.0
106,6,random,observable,-404.5,120,0,9,23,0,0,0.0
107,6,random,observable,-666.0,120,0,25,14,1,0,0.0
108,6,random,observable,-506.0,120,0,16,18,1,0,0.0
109,6,random,observable,-487.5,120,0,12,30,1,0,0.0
110,6,random,observable,-737.5,120,0,29,10,0,0,0.0
111,6,random,observable,-520.0,120,0,15,24,1,0,0.0
112,6,random,observable,-479.0,120,0,14,19,0,0,0.0
113,6,random,observable,-244.0,120,0,2,21,1,0,0.0
114,6,random,observable,-619.0,120,0,23,10,0,0,0.0
115,6,random,observable,-576.0,120,0,19,17,0,0,0.0
116,6,random,observable,-480.0,120,0,13,23,0,0,0.0
117,6,random,observable,-538.0,120,0,17,17,0,0,0.0
118,6,random,observable,-415.0,120,0,10,23,1,0,0.0
119,6,random,observable,-474.0,120,0,12,25,0,0,0.0
120,6,random,observable,-380.0,120,0,9,20,1,0,0.0
121,6,random,observable,-705.5,120,0,28,10,1,0,0.0
122,6,random,observable,-436.0,120,0,12,17,0,0,0.0
123,6,random,observable,-420.0,120,0,12,17,1,0,0.0
124,6,random,observable,-524.0,120,0,18,11,0,0,0.0
125,6,random,observable,-301.5,120,0,3,27,0,0,0.0
126,6,random,observable,-460.0,120,0,14,17,1,0,0.0
127,6,random,observable,-466.0,120,0,15,13,1,0,0.0
128,6,random,observable,-629.0,120,0,21,20,0,0,0.0
129,6,random,observable,-410.5,120,0,8,30,1,0,0.0
130,6,random,observable,-682.5,120,0,25,18,1,0,0.0
131,6,random,observable,-452.0,120,0,10,31,1,0,0.0
132,6,random,observable,-561.0,120,0,20,10,0,0,0.0
133,6,random,observable,-338.5,120,0,5,26,0,0,0.0
134,6,random,observable,-448.0,120,0,13,18,1,0,0.0
135,6,random,observable,-423.0,120,0,12,17,1,0,0.0
136,6,random,observable,-414.5,120,0,10,24,1,0,0.0
137,6,random,observable,-407.0,120,0,11,18,1,0,0.0
138,6,random,observable,-275.0,120,0,2,27,1,0,0.0
139,6,random,observable,-498.0,120,0,14,23,0,0,0.0
140,6,random,observable,-410.5,120,0,10,22,1,0,0.0
141,6,random,observable,-556.5,120,0,17,23,1,0,0.0
142,6,random,observable,-870.5,120,0,36,11,1,0,0.0
143,6,random,observable,-411.0,120,0,11,16,0,0,0.0
144,6,random,observable,-166.5,76,1,6,8,1,1,0.0
145,6,random,observable,-497.5,120,0,16,16,1,0,0.0
146,6,random,observable,-850.5,120,0,34,13,0,0,0.0
147,6,random,observable,-274.5,88,1,10,11,1,1,0.0
148,6,random,observable,-811.5,120,0,32,13,0,0,0.0
149,6,random,observable,-443.0,120,0,13,15,0,0,0.0
150,6,random,observable,-358.5,120,0,8,20,1,0,0.0
151,6,random,observable,-370.0,120,0,8,20,0,0,0.0
152,6,random,observable,-579.0,120,0,17,26,0,0,0.0
153,6,random,observable,-249.0,120,0,1,26,1,0,0.0
154,6,random,observable,-737.5,120,0,27,20,1,0,0.0
155,6,random,observable,-688.0,120,0,26,12,0,0,0.0
156,6,random,observable,-628.5,120,0,23,12,0,0,0.0
157,6,random,observable,-249.5,120,0,2,22,1,0,0.0
158,6,random,observable,-459.0,110,1,17,16,1,1,0.0
159,6,random,observable,-530.5,120,0,17,16,0,0,0.0
160,6,random,observable,-520.0,120,0,15,25,1,0,0.0
161,6,random,observable,-460.5,120,0,12,24,1,0,0.0
162,6,random,observable,-905.5,120,0,38,10,1,0,0.0
163,6,random,observable,-565.5,120,0,18,20,0,0,0.0
164,6,random,observable,-354.5,120,0,10,12,1,0,0.0
165,6,random,observable,-654.5,120,0,24,16,1,0,0.0
166,6,random,observable,-638.0,120,0,21,22,0,0,0.0
167,6,random,observable,-344.0,120,0,4,32,1,0,0.0
168,6,random,observable,-880.0,120,0,38,3,0,0,0.0
169,6,random,observable,-344.5,120,0,8,16,0,0,0.0
170,6,random,observable,-698.5,120,0,27,11,0,0,0.0
171,6,random,observable,-280.0,120,0,1,30,0,0,0.0
172,6,random,observable,-432.0,120,0,11,23,1,0,0.0
173,6,random,observable,-574.5,120,0,18,23,1,0,0.0
174,6,random,observable,-335.5,120,0,5,25,0,0,0.0
175,6,random,observable,-804.5,120,0,33,7,0,0,0.0
176,6,random,observable,-533.5,120,0,13,35,1,0,0.0
177,6,random,observable,-535.5,120,0,18,15,1,0,0.0
178,6,random,observable,-421.5,79,1,19,6,1,1,0.0
179,6,random,observable,-231.0,46,1,11,6,1,1,0.0
180,6,random,observable,-542.0,120,0,17,19,0,0,0.0
181,6,random,observable,-629.5,120,0,24,10,1,0,0.0
182,6,random,observable,-620.5,120,0,22,15,0,0,0.0
183,6,random,observable,-725.0,120,0,27,15,0,0,0.0
184,6,random,observable,-542.5,120,0,18,15,0,0,0.0
185,6,random,observable,-637.0,120,0,21,22,0,0,0.0
186,6,random,observable,-463.5,120,0,14,17,1,0,0.0
187,6,random,observable,-688.5,120,0,23,24,0,0,0.0
188,6,random,observable,-245.5,120,0,2,21,1,0,0.0
189,6,random,observable,-623.5,120,0,21,21,1,0,0.0
190,6,random,observable,-422.0,120,0,8,31,0,0,0.0
191,6,random,observable,-506.0,120,0,16,18,1,0,0.0
192,6,random,observable,-784.5,120,0,29,21,1,0,0.0
193,6,random,observable,-554.5,120,0,19,16,1,0,0.0
194,6,random,observable,-770.5,120,0,30,13,0,0,0.0
195,6,random,observable,-558.5,120,0,17,22,0,0,0.0
196,6,random,observable,-674.5,120,0,26,8,0,0,0.0
197,6,random,observable,-582.0,120,0,21,13,1,0,0.0
198,6,random,observable,-272.0,82,1,11,8,1,1,0.0
199,6,random,observable,-647.0,120,0,22,20,0,0,0.0
200,6,random,observable,-375.0,120,0,8,22,0,0,0.0
201,6,random,observable,-537.0,120,0,17,18,0,0,0.0
202,6,random,observable,-328.5,120,0,6,22,1,0,0.0
203,6,random,observable,-347.0,120,0,5,30,1,0,0.0
204,6,random,observable,-307.5,106,1,9,19,1,1,0.0
205,6,random,observable,-518.5,120,0,15,22,0,0,0.0
206,6,random,observable,-446.5,120,0,11,24,0,0,0.0
207,6,random,observable,-346.5,120,0,7,20,0,0,0.0
208,6,random,observable,-659.0,120,0,24,14,0,0,0.0
209,6,random,observable,-805.0,120,0,32,11,0,0,0.0
210,6,random,observable,-407.0,120,0,10,22,1,0,0.0
211,6,random,observable,-381.0,120,0,5,34,0,0,0.0
212,6,random,observable,-391.0,120,0,10,18,1,0,0.0
213,6,random,observable,-477.0,120,0,13,23,1,0,0.0
214,6,random,observable,-756.5,120,0,29,14,0,0,0.0
215,6,random,observable,-349.5,78,1,15,8,1,1,0.0
216,6,random,observable,-421.0,120,0,10,25,1,0,0.0
217,6,random,observable,-348.0,120,0,6,26,1,0,0.0
218,6,random,observable,-686.0,120,0,26,12,0,0,0.0
219,6,random,observable,-557.5,120,0,20,12,1,0,0.0
220,6,random,observable,-787.0,120,0,31,14,1,0,0.0
221,6,random,observable,-477.0,120,0,15,16,1,0,0.0
222,6,random,observable,-285.5,120,0,5,17,1,0,0.0
223,6,random,observable,-371.5,120,0,7,27,1,0,0.0
224,6,random,observable,-507.5,120,0,16,16,0,0,0.0
225,6,random,observable,-428.0,120,0,10,27,1,0,0.0
226,6,random,observable,-400.5,120,0,6,36,1,0,0.0
227,6,random,observable,-499.5,120,0,15,18,0,0,0.0
228,6,random,observable,-452.5,120,0,14,15,1,0,0.0
229,6,random,observable,-268.0,120,0,4,16,0,0,0.0
230,6,random,observable,-458.5,120,0,14,14,0,0,0.0
231,6,random,observable,-295.0,60,1,13,8,1,1,0.0
232,6,random,observable,-476.0,120,0,12,26,0,0,0.0
233,6,random,observable,-639.5,120,0,23,16,1,0,0.0
234,6,random,observable,-405.0,120,0,7,33,1,0,0.0
