episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,0,sarsa,observable,-361.0,120,0,9,15,0,0,1.0
1,0,sarsa,observable,-344.5,120,0,5,27,0,0,0.996
2,0,sarsa,observable,-450.5,120,0,11,26,1,0,0.992016
3,0,sarsa,observable,-465.0,120,0,14,17,1,0,0.988047936
4,0,sarsa,observable,-517.5,120,0,16,18,0,0,0.984095744256
5,0,sarsa,observable,-333.5,120,0,8,16,1,0,0.980159361278976
6,0,sarsa,observable,-577.0,120,0,19,20,1,0,0.9762387238338601
7,0,sarsa,observable,-466.5,120,0,14,19,1,0,0.9723337689385246
8,0,sarsa,observable,-833.0,120,0,34,9,0,0,0.9684444338627706
9,0,sarsa,observable,-474.0,120,0,15,15,1,0,0.9645706561273194
10,0,sarsa,observable,-689.0,120,0,25,16,0,0,0.9607123735028101
11,0,sarsa,observable,-433.5,120,0,12,19,1,0,0.9568695240087989
12,0,sarsa,observable,-638.5,120,0,24,12,1,0,0.9530420459127638
13,0,sarsa,observable,-702.5,120,0,27,13,1,0,0.9492298777291127
14,0,sarsa,observable,-473.5,120,0,15,15,1,0,0.9454329582181962
15,0,sarsa,observable,-315.5,120,0,4,26,0,0,0.9416512263853234
16,0,sarsa,observable,-672.5,120,0,24,18,1,0,0.9378846214797821
17,0,sarsa,observable,-741.5,120,0,29,11,0,0,0.934133082993863
18,0,sarsa,observable,-423.0,120,0,10,23,0,0,0.9303965506618875
19,0,sarsa,observable,-768.5,120,0,30,12,0,0,0.92667496445924
20,0,sarsa,observable,-493.5,120,0,16,15,1,0,0.922968264601403
21,0,sarsa,observable,-399.5,120,0,11,16,1,0,0.9192763915429975
22,0,sarsa,observable,-714.0,120,0,27,13,0,0,0.9155992859768254
23,0,sarsa,observable,-361.0,120,0,7,25,1,0,0.9119368888329181
24,0,sarsa,observable,-378.0,120,0,9,21,1,0,0.9082891412775864
25,0,sarsa,observable,-348.0,120,0,7,22,1,0,0.9046559847124761
26,0,sarsa,observable,-652.5,120,0,23,19,1,0,0.9010373607736262
27,0,sarsa,observable,-359.0,120,0,9,17,1,0,0.8974332113305317
28,0,sarsa,observable,-625.0,120,0,21,19,0,0,0.8938434784852095
29,0,sarsa,observable,-445.0,120,0,13,18,1,0,0.8902681045712687
30,0,sarsa,observable,-702.0,120,0,27,13,1,0,0.8867070321529836
